Microservice,Test ID,Fonctionnalité,Scénario de Test,Type,Priorité,Préconditions,Données de Test,Étapes,Résultat Attendu,Statut,Commentaires
ORDERING,TC_ORDER_051,Workflow,Cycle complet (Happy Path),Intégration,Haute,Aucune,Commande complète A→Z,"1. Créer | 2. Items | 3. Submit | 4. Ship | 5. Deliver","Tous statuts OK | Événements levés | Delivered",À tester,End-to-end
ORDERING,TC_ORDER_052,Workflow,Avec annulation,Intégration,Haute,Aucune,Commande puis annulation,"1. Créer | 2. Items | 3. Submit | 4. Cancel","Status=Cancelled | Événement | Historique conservé",À tester,Flow annulation
ORDERING,TC_ORDER_053,Performance,Créer 100 commandes,Performance,Basse,Aucune,100 commandes,"1. Créer 100 | 2. Mesurer","Total < 30s | 100 créées",À tester,Charge création
ORDERING,TC_ORDER_054,Performance,Récupérer 1000 commandes,Performance,Basse,1000 commandes | PageSize=100,10 pages,"1. 10 requêtes | 2. Mesurer","Chaque < 500ms | 1000 commandes",À tester,Charge lecture
ORDERING,TC_ORDER_055,Concurrence,Modifications simultanées,Concurrence,Moyenne,Une commande,User1 et User2 ajoutent items,"1. 2 POST parallèles | 2. Vérifier","2 items OU 1 gagne | Cohérence",À tester,Concurrence
ORDERING,TC_ORDER_056,Concurrence,Submit et Cancel simultanés,Concurrence,Haute,Commande Initial,Submit et Cancel simultanés,"1. 2 actions parallèles | 2. Vérifier statut","Pending OU Cancelled | Cohérence",À tester,Race condition
ORDERING,TC_ORDER_057,Intégration,Commande depuis panier (checkout),Intégration,Haute,Panier avec 3 items,Panier→Commande,"1. Récupérer panier | 2. Créer commande | 3. Transférer items | 4. Vider panier","Commande créée | Items transférés | Panier vidé",À tester,Basket→Order
ORDERING,TC_ORDER_058,Intégration,Vérifier stock avant création,Intégration,Haute,Produit A : Stock=10 | Commande : 5,Quantity = 5,"1. Vérifier stock Catalog | 2. Créer si OK | 3. Réserver stock","Commande OK | Stock réservé",À tester,Validation stock
ORDERING,TC_ORDER_059,Intégration,Produit supprimé du Catalog,Intégration,Moyenne,Produit supprimé après commande,CatalogItemId supprimé,"1. Créer commande | 2. Supprimer produit Catalog | 3. Vérifier","Commande conserve données historiques",À tester,Cohérence historique
ORDERING,TC_ORDER_060,Validation ID,GUID invalide,Négatif,Basse,Aucune,OrderId=""invalid""","1. GET/PUT/POST invalide | 2. Erreur","Code HTTP 400 | Format invalide",À tester,Validation GUID
